"","V1","V2"
"741","Myrmotherula_cherriei",0
"742","Myrmochanes_hemileucus",0
"743","Myrmotherula_surinamensis",1
"744","Myrmotherula_pacifica",0
"745","Myrmotherula_multostriata",0
"746","Myrmotherula_klagesi",0
"747","Myrmotherula_gularis",0
"748","Myrmotherula_longicauda",0
"749","Myrmotherula_guttata",0
"750","Myrmotherula_brachyura",0
"751","Myrmotherula_ignota",0
"752","Myrmotherula_sclateri",0
"753","Myrmotherula_ambigua",0
"754","Myrmotherula_schisticolor",0
"755","Myrmotherula_behni",0
"756","Myrmotherula_fluminensis",0
"757","Myrmotherula_minor",0
"758","Myrmotherula_grisea",0
"759","Myrmotherula_axillaris",0
"760","Myrmotherula_longipennis",0
"761","Formicivora_grisea",0
"762","Formicivora_rufa",0
"763","Formicivora_iheringi",0
"764","Formicivora_serrana",0
"765","Formicivora_erythronotos",0
"766","Formicivora_melanogaster",0
"767","Formicivora_intermedia",0
"768","Myrmotherula_iheringi",0
"769","Myrmotherula_assimilis",0
"770","Myrmotherula_menetriesii",0
"771","Microrhopias_quixensis",0
"772","Clytoctantes_atrogularis",0
"773","Stymphalornis_acutirostris",0
"774","Myrmorchilus_strigilatus",0
"775","Myrmeciza_pelzelni",0
"776","Myrmotherula_urosticta",0
"777","Myrmeciza_atrothorax",0
"778","Myrmeciza_disjuncta",0
"779","Myrmeciza_ruficauda",0
"780","Epinecrophylla_fulviventris",0
"781","Myrmotherula_unicolor",0
"782","Myrmotherula_snowi",0
"783","Myrmotherula_sunensis",0
"784","Epinecrophylla_erythrura",0
"785","Epinecrophylla_leucophthalma",0
"786","Epinecrophylla_ornata",0
"787","Myrmotherula_gutturalis",0
"788","Epinecrophylla_spodionota",0
"789","Epinecrophylla_haematonota",0
"790","Neoctantes_niger",0
"791","Terenura_spodioptila",0
"792","Terenura_maculata",0
"793","Terenura_humeralis",0
"794","Terenura_sharpei",0
"795","Terenura_callinota",0
