Iteration	Posterior	Likelihood	Prior	alpha	beta	num_events[1]	num_events[2]	rate_pr[1]	rate_pr[2]	root_frequencies[1]	root_frequencies[2]
176	-6.6731	-8.03062	1.35752	0.003854208	0.0009913873	6.06663	8.3753	53.9477	39.0768	0.207575	0.792425
177	-4.05755	-7.41016	3.35261	0.003854208	0.0009913873	3.17509	3.66461	103.077	89.3084	0.79191	0.20809
178	-4.40564	-7.80191	3.39627	0.003854208	0.0009913873	6.05514	1.83152	54.0501	178.694	0.382224	0.617776
179	-6.12555	-7.91566	1.79011	0.003854208	0.0009913873	8.60118	4.50491	38.0506	72.6497	0.290371	0.709629
180	-6.68051	-7.81169	1.13117	0.003854208	0.0009913873	6.74815	8.7174	48.4993	37.5433	0.37391	0.62609
181	-3.6632	-7.38979	3.7266	0.003854208	0.0009913873	1.71205	3.81118	191.162	85.8738	0.817918	0.182082
182	-4.32686	-7.29096	2.96411	0.003854208	0.0009913873	0.803429	6.53716	407.354	50.0647	0.951916	0.0480844
183	-4.07751	-7.28818	3.21067	0.003854208	0.0009913873	0.803429	5.57612	407.354	58.6932	0.95589	0.0441102
184	-6.79105	-7.3332	0.542146	0.003854208	0.0009913873	7.74381	10.5932	42.2635	30.8955	0.89303	0.10697
185	-6.73338	-7.3332	0.599819	0.003854208	0.0009913873	10.9224	7.36852	29.9642	44.416	0.89303	0.10697
186	-5.90835	-7.71274	1.80439	0.003854208	0.0009913873	10.9224	3.17116	29.9642	103.205	0.461901	0.538099
187	-4.47882	-7.98067	3.50185	0.003854208	0.0009913873	6.15585	1.60657	53.1658	203.714	0.24238	0.75762
188	-4.59804	-8.05041	3.45237	0.003854208	0.0009913873	7.55183	1.21045	43.3379	270.378	0.194254	0.805746
189	-4.31383	-7.72757	3.41374	0.003854208	0.0009913873	7.25802	1.35843	45.0923	240.925	0.448154	0.551846
190	-8.21663	-7.62079	-0.59584	0.003854208	0.0009913873	19.1338	6.78709	17.1048	48.221	0.551846	0.448154
191	-7.33806	-7.73777	0.399711	0.003854208	0.0009913873	8.55221	10.477	38.2685	31.2381	0.438812	0.561188
192	-5.69034	-7.62545	1.93512	0.003854208	0.0009913873	5.39451	6.54463	60.6691	50.0075	0.547085	0.452915
193	-6.99429	-7.57001	0.575719	0.003854208	0.0009913873	7.25896	10.9546	45.0864	29.876	0.605187	0.394813
194	-3.70891	-7.78728	4.07837	0.003854208	0.0009913873	0.807093	2.90543	405.505	112.644	0.394813	0.605187
195	-3.71684	-7.95976	4.24292	0.003854208	0.0009913873	1.05306	2.68889	310.791	121.716	0.257478	0.742522
196	-2.40142	-7.36297	4.96155	0.003854208	0.0009913873	1.0528	1.32687	310.866	246.657	0.852985	0.147015
197	-3.8304	-7.34344	3.51304	0.003854208	0.0009913873	0.765366	4.43498	427.613	73.7952	0.879118	0.120882
198	-5.33323	-7.84216	2.50893	0.003854208	0.0009913873	1.76578	8.40535	185.346	38.9372	0.348523	0.651477
199	-3.06736	-7.39516	4.32781	0.003854208	0.0009913873	2.30913	1.96023	141.733	166.96	0.811008	0.188992
200	-2.9404	-7.28241	4.34201	0.003854208	0.0009913873	3.86933	1.19398	84.5833	274.109	0.964144	0.0358564
201	-2.38181	-8.00669	5.62487	0.003854208	0.0009913873	1.70165	0.335639	192.332	975.096	0.224035	0.775965
202	-3.20318	-7.31378	4.1106	0.003854208	0.0009913873	6.0056	0.800163	54.4959	409.017	0.919796	0.0802038
203	-3.95042	-7.34454	3.39412	0.003854208	0.0009913873	10.4791	0.570658	31.2317	573.514	0.877629	0.122371
204	-2.93353	-7.26853	4.33499	0.003854208	0.0009913873	4.073	1.12691	80.3537	290.423	0.984227	0.0157728
205	-2.34706	-7.29436	4.94729	0.003854208	0.0009913873	2.1139	1.06287	154.823	307.922	0.947094	0.0529056
206	-4.14043	-8.24603	4.1056	0.003854208	0.0009913873	3.79743	1.58638	86.1847	206.306	0.0758692	0.924131
207	-2.51512	-7.29131	4.77619	0.003854208	0.0009913873	0.536605	0.992178	609.91	329.861	0.951424	0.0485763
208	-2.84452	-7.44832	4.60381	0.003854208	0.0009913873	0.907568	1.87474	360.613	174.574	0.744582	0.255418
